100000,3000,"normal3000",10,-25,1
100000,3000,"normal3000",10,-24,15
100000,3000,"normal3000",10,-23,24
100000,3000,"normal3000",10,-22,22
100000,3000,"normal3000",10,-21,22
100000,3000,"normal3000",10,-20,24
100000,3000,"normal3000",10,-19,24
100000,3000,"normal3000",10,-18,24
100000,3000,"normal3000",10,-17,24
100000,3000,"normal3000",10,-16,26
100000,3000,"normal3000",10,-15,24
100000,3000,"normal3000",10,-14,26
100000,3000,"normal3000",10,-13,28
100000,3000,"normal3000",10,-12,26
100000,3000,"normal3000",10,-11,35
100000,3000,"normal3000",10,-10,50
100000,3000,"normal3000",10,-9,50
100000,3000,"normal3000",10,-8,54
100000,3000,"normal3000",10,-7,68
100000,3000,"normal3000",10,-6,82
100000,3000,"normal3000",10,-5,86
100000,3000,"normal3000",10,-4,111
100000,3000,"normal3000",10,-3,126
100000,3000,"normal3000",10,-2,264
100000,3000,"normal3000",10,-1,191
100000,3000,"normal3000",10,0,161
100000,3000,"normal3000",10,1,121
100000,3000,"normal3000",10,2,121
100000,3000,"normal3000",10,3,121
100000,3000,"normal3000",10,4,107
100000,3000,"normal3000",10,5,112
100000,3000,"normal3000",10,6,113
100000,3000,"normal3000",10,7,116
100000,3000,"normal3000",10,8,134
100000,3000,"normal3000",10,9,175
100000,3000,"normal3000",10,10,251
100000,3000,"normal3000",10,11,41
