300000,100000,3000,500,14,4,0,296518
300000,100000,3000,500,14,4,1,287
300000,100000,3000,500,14,4,2,161
300000,100000,3000,500,14,4,3,111
300000,100000,3000,500,14,4,4,107
300000,100000,3000,500,14,4,5,98
300000,100000,3000,500,14,4,6,64
300000,100000,3000,500,14,4,7,78
300000,100000,3000,500,14,4,8,74
300000,100000,3000,500,14,4,9,70
300000,100000,3000,500,14,4,10,61
300000,100000,3000,500,14,4,11,59
300000,100000,3000,500,14,4,12,52
300000,100000,3000,500,14,4,13,47
300000,100000,3000,500,14,4,14,60
300000,100000,3000,500,14,4,15,42
300000,100000,3000,500,14,4,16,42
300000,100000,3000,500,14,4,17,33
300000,100000,3000,500,14,4,18,27
300000,100000,3000,500,14,4,19,33
300000,100000,3000,500,14,4,20,37
300000,100000,3000,500,14,4,21,24
300000,100000,3000,500,14,4,22,28
300000,100000,3000,500,14,4,23,25
300000,100000,3000,500,14,4,24,36
300000,100000,3000,500,14,4,25,36
300000,100000,3000,500,14,4,26,35
300000,100000,3000,500,14,4,27,23
300000,100000,3000,500,14,4,28,29
300000,100000,3000,500,14,4,29,25
300000,100000,3000,500,14,4,30,25
300000,100000,3000,500,14,4,31,41
300000,100000,3000,500,14,4,32,19
300000,100000,3000,500,14,4,33,30
300000,100000,3000,500,14,4,34,34
300000,100000,3000,500,14,4,35,17
300000,100000,3000,500,14,4,36,19
300000,100000,3000,500,14,4,37,25
300000,100000,3000,500,14,4,38,32
300000,100000,3000,500,14,4,39,28
300000,100000,3000,500,14,4,40,34
300000,100000,3000,500,14,4,41,37
300000,100000,3000,500,14,4,42,21
300000,100000,3000,500,14,4,43,17
300000,100000,3000,500,14,4,44,23
300000,100000,3000,500,14,4,45,20
300000,100000,3000,500,14,4,46,22
300000,100000,3000,500,14,4,47,30
300000,100000,3000,500,14,4,48,26
300000,100000,3000,500,14,4,49,17
300000,100000,3000,500,14,4,50,23
300000,100000,3000,500,14,4,51,23
300000,100000,3000,500,14,4,52,17
300000,100000,3000,500,14,4,53,23
300000,100000,3000,500,14,4,54,23
300000,100000,3000,500,14,4,55,24
300000,100000,3000,500,14,4,56,20
300000,100000,3000,500,14,4,57,28
300000,100000,3000,500,14,4,58,21
300000,100000,3000,500,14,4,59,26
300000,100000,3000,500,14,4,60,34
300000,100000,3000,500,14,4,61,24
300000,100000,3000,500,14,4,62,31
300000,100000,3000,500,14,4,63,25
300000,100000,3000,500,14,4,64,29
300000,100000,3000,500,14,4,65,24
300000,100000,3000,500,14,4,66,22
300000,100000,3000,500,14,4,67,31
300000,100000,3000,500,14,4,68,26
300000,100000,3000,500,14,4,69,38
300000,100000,3000,500,14,4,70,35
300000,100000,3000,500,14,4,71,54
300000,100000,3000,500,14,4,72,43
300000,100000,3000,500,14,4,73,39
300000,100000,3000,500,14,4,74,58
300000,100000,3000,500,14,4,75,62
300000,100000,3000,500,14,4,76,54
300000,100000,3000,500,14,4,77,52
300000,100000,3000,500,14,4,78,74
300000,100000,3000,500,14,4,79,172
300000,100000,3000,500,14,4,82,1
300000,100000,3000,500,14,4,84,1
300000,100000,3000,500,14,4,94,2
300000,100000,3000,500,14,4,101,2
300000,100000,3000,500,14,8,0,299777
300000,100000,3000,500,14,8,1,14
